date,hour,invoice_id,invoice_nr,line_nr,parent_id,product_id,product_name,quantity,price
01/03/2026,11:14,1,FT 26/00001,1,,404,Orange juice,2,2.2
01/03/2026,12:00,2,FT 26/00002,1,,304,Salad,1,2.0
01/03/2026,12:01,3,FT 26/00003,1,,101,Menu Double burger,1,8.3
01/03/2026,12:01,3,FT 26/00003,2,1,202,Double burger,1,4.2
01/03/2026,12:01,3,FT 26/00003,3,1,301,Fries,1,1.5
01/03/2026,12:01,3,FT 26/00003,4,1,403,Water,1,1.2
01/03/2026,12:01,3,FT 26/00003,5,1,502,Apple pie,1,1.4
01/03/2026,12:01,3,FT 26/00003,6,,301,Fries,1,1.5
01/03/2026,12:01,3,FT 26/00003,7,,101,Menu Double burger,1,9.2
01/03/2026,12:01,3,FT 26/00003,8,7,202,Double burger,1,4.2
01/03/2026,12:01,3,FT 26/00003,9,7,304,Salad,1,2.0
01/03/2026,12:01,3,FT 26/00003,10,7,402,Fanta,1,2.0
01/03/2026,12:01,3,FT 26/00003,11,7,501,Sundae,1,1.0
01/03/2026,12:04,4,FT 26/00004,1,,101,Menu Double burger,1,9.3
01/03/2026,12:04,4,FT 26/00004,2,1,202,Double burger,1,4.2
01/03/2026,12:04,4,FT 26/00004,3,1,301,Fries,1,1.5
01/03/2026,12:04,4,FT 26/00004,4,1,404,Orange juice,1,2.2
01/03/2026,12:04,4,FT 26/00004,5,1,502,Apple pie,1,1.4
01/03/2026,12:04,4,FT 26/00004,6,,303,Soup,1,1.8
01/03/2026,12:04,4,FT 26/00004,7,,203,Chicken burger,1,3.55
01/03/2026,12:08,5,FT 26/00005,1,,502,Apple pie,1,1.4
01/03/2026,12:18,6,FT 26/00006,1,,401,Coke,1,2.0
01/03/2026,12:18,7,FT 26/00007,1,,203,Chicken burger,1,3.55
01/03/2026,12:21,8,FT 26/00008,1,,100,Menu Cheese burger,1,7.6
01/03/2026,12:21,8,FT 26/00008,2,1,201,Cheese burger,1,3.0
01/03/2026,12:21,8,FT 26/00008,3,1,301,Fries,1,1.5
01/03/2026,12:21,8,FT 26/00008,4,1,402,Fanta,1,2.0
01/03/2026,12:21,8,FT 26/00008,5,1,503,Ice-cream cone,1,1.1
01/03/2026,12:21,8,FT 26/00008,6,,102,Menu Chicken burger,1,8.15
01/03/2026,12:21,8,FT 26/00008,7,6,203,Chicken burger,1,3.55
01/03/2026,12:21,8,FT 26/00008,8,6,301,Fries,1,1.5
01/03/2026,12:21,8,FT 26/00008,9,6,402,Fanta,1,2.0
01/03/2026,12:21,8,FT 26/00008,10,6,503,Ice-cream cone,1,1.1
01/03/2026,12:21,8,FT 26/00008,11,,404,Orange juice,1,2.2
01/03/2026,12:39,9,FT 26/00009,1,,100,Menu Cheese burger,1,7.8
01/03/2026,12:39,9,FT 26/00009,2,1,201,Cheese burger,1,3.0
01/03/2026,12:39,9,FT 26/00009,3,1,303,Soup,1,1.8
01/03/2026,12:39,9,FT 26/00009,4,1,402,Fanta,1,2.0
01/03/2026,12:39,9,FT 26/00009,5,1,501,Sundae,1,1.0
